Date,DateKey,Year,Quarter,Month,Day,MonthInYear,MonthInYearSort,DayOfWeek,DayOfWeekSort
12/17/2020,20201217,2020,2020-Q4,2020-12,17,December,12,Thursday,5
12/18/2020,20201218,2020,2020-Q4,2020-12,18,December,12,Friday,6
12/19/2020,20201219,2020,2020-Q4,2020-12,19,December,12,Saturday,7
12/20/2020,20201220,2020,2020-Q4,2020-12,20,December,12,Sunday,1
12/21/2020,20201221,2020,2020-Q4,2020-12,21,December,12,Monday,2
12/22/2020,20201222,2020,2020-Q4,2020-12,22,December,12,Tuesday,3
12/23/2020,20201223,2020,2020-Q4,2020-12,23,December,12,Wednesday,4
12/24/2020,20201224,2020,2020-Q4,2020-12,24,December,12,Thursday,5
12/25/2020,20201225,2020,2020-Q4,2020-12,25,December,12,Friday,6
12/26/2020,20201226,2020,2020-Q4,2020-12,26,December,12,Saturday,7
12/27/2020,20201227,2020,2020-Q4,2020-12,27,December,12,Sunday,1
12/28/2020,20201228,2020,2020-Q4,2020-12,28,December,12,Monday,2
12/29/2020,20201229,2020,2020-Q4,2020-12,29,December,12,Tuesday,3
12/30/2020,20201230,2020,2020-Q4,2020-12,30,December,12,Wednesday,4
12/31/2020,20201231,2020,2020-Q4,2020-12,31,December,12,Thursday,5
1/1/2021,20210101,2021,2021-Q1,2021-01,1,January,1,Friday,6
1/2/2021,20210102,2021,2021-Q1,2021-01,2,January,1,Saturday,7
1/3/2021,20210103,2021,2021-Q1,2021-01,3,January,1,Sunday,1
1/4/2021,20210104,2021,2021-Q1,2021-01,4,January,1,Monday,2
1/5/2021,20210105,2021,2021-Q1,2021-01,5,January,1,Tuesday,3
1/6/2021,20210106,2021,2021-Q1,2021-01,6,January,1,Wednesday,4
1/7/2021,20210107,2021,2021-Q1,2021-01,7,January,1,Thursday,5
1/8/2021,20210108,2021,2021-Q1,2021-01,8,January,1,Friday,6
1/9/2021,20210109,2021,2021-Q1,2021-01,9,January,1,Saturday,7
1/10/2021,20210110,2021,2021-Q1,2021-01,10,January,1,Sunday,1
1/11/2021,20210111,2021,2021-Q1,2021-01,11,January,1,Monday,2
1/12/2021,20210112,2021,2021-Q1,2021-01,12,January,1,Tuesday,3
1/13/2021,20210113,2021,2021-Q1,2021-01,13,January,1,Wednesday,4
1/14/2021,20210114,2021,2021-Q1,2021-01,14,January,1,Thursday,5
1/15/2021,20210115,2021,2021-Q1,2021-01,15,January,1,Friday,6
1/16/2021,20210116,2021,2021-Q1,2021-01,16,January,1,Saturday,7
1/17/2021,20210117,2021,2021-Q1,2021-01,17,January,1,Sunday,1
1/18/2021,20210118,2021,2021-Q1,2021-01,18,January,1,Monday,2
1/19/2021,20210119,2021,2021-Q1,2021-01,19,January,1,Tuesday,3
1/20/2021,20210120,2021,2021-Q1,2021-01,20,January,1,Wednesday,4
1/21/2021,20210121,2021,2021-Q1,2021-01,21,January,1,Thursday,5
1/22/2021,20210122,2021,2021-Q1,2021-01,22,January,1,Friday,6
1/23/2021,20210123,2021,2021-Q1,2021-01,23,January,1,Saturday,7
1/24/2021,20210124,2021,2021-Q1,2021-01,24,January,1,Sunday,1
1/25/2021,20210125,2021,2021-Q1,2021-01,25,January,1,Monday,2
1/26/2021,20210126,2021,2021-Q1,2021-01,26,January,1,Tuesday,3
1/27/2021,20210127,2021,2021-Q1,2021-01,27,January,1,Wednesday,4
1/28/2021,20210128,2021,2021-Q1,2021-01,28,January,1,Thursday,5
1/29/2021,20210129,2021,2021-Q1,2021-01,29,January,1,Friday,6
1/30/2021,20210130,2021,2021-Q1,2021-01,30,January,1,Saturday,7
1/31/2021,20210131,2021,2021-Q1,2021-01,31,January,1,Sunday,1
2/1/2021,20210201,2021,2021-Q1,2021-02,1,February,2,Monday,2
2/2/2021,20210202,2021,2021-Q1,2021-02,2,February,2,Tuesday,3
2/3/2021,20210203,2021,2021-Q1,2021-02,3,February,2,Wednesday,4
2/4/2021,20210204,2021,2021-Q1,2021-02,4,February,2,Thursday,5
2/5/2021,20210205,2021,2021-Q1,2021-02,5,February,2,Friday,6
2/6/2021,20210206,2021,2021-Q1,2021-02,6,February,2,Saturday,7
2/7/2021,20210207,2021,2021-Q1,2021-02,7,February,2,Sunday,1
2/8/2021,20210208,2021,2021-Q1,2021-02,8,February,2,Monday,2
2/9/2021,20210209,2021,2021-Q1,2021-02,9,February,2,Tuesday,3
2/10/2021,20210210,2021,2021-Q1,2021-02,10,February,2,Wednesday,4
2/11/2021,20210211,2021,2021-Q1,2021-02,11,February,2,Thursday,5
2/12/2021,20210212,2021,2021-Q1,2021-02,12,February,2,Friday,6
2/13/2021,20210213,2021,2021-Q1,2021-02,13,February,2,Saturday,7
2/14/2021,20210214,2021,2021-Q1,2021-02,14,February,2,Sunday,1
2/15/2021,20210215,2021,2021-Q1,2021-02,15,February,2,Monday,2
2/16/2021,20210216,2021,2021-Q1,2021-02,16,February,2,Tuesday,3
2/17/2021,20210217,2021,2021-Q1,2021-02,17,February,2,Wednesday,4
2/18/2021,20210218,2021,2021-Q1,2021-02,18,February,2,Thursday,5
2/19/2021,20210219,2021,2021-Q1,2021-02,19,February,2,Friday,6
2/20/2021,20210220,2021,2021-Q1,2021-02,20,February,2,Saturday,7
2/21/2021,20210221,2021,2021-Q1,2021-02,21,February,2,Sunday,1
2/22/2021,20210222,2021,2021-Q1,2021-02,22,February,2,Monday,2
2/23/2021,20210223,2021,2021-Q1,2021-02,23,February,2,Tuesday,3
2/24/2021,20210224,2021,2021-Q1,2021-02,24,February,2,Wednesday,4
2/25/2021,20210225,2021,2021-Q1,2021-02,25,February,2,Thursday,5
2/26/2021,20210226,2021,2021-Q1,2021-02,26,February,2,Friday,6
2/27/2021,20210227,2021,2021-Q1,2021-02,27,February,2,Saturday,7
2/28/2021,20210228,2021,2021-Q1,2021-02,28,February,2,Sunday,1
3/1/2021,20210301,2021,2021-Q1,2021-03,1,March,3,Monday,2
3/2/2021,20210302,2021,2021-Q1,2021-03,2,March,3,Tuesday,3
3/3/2021,20210303,2021,2021-Q1,2021-03,3,March,3,Wednesday,4
3/4/2021,20210304,2021,2021-Q1,2021-03,4,March,3,Thursday,5
3/5/2021,20210305,2021,2021-Q1,2021-03,5,March,3,Friday,6
3/6/2021,20210306,2021,2021-Q1,2021-03,6,March,3,Saturday,7
3/7/2021,20210307,2021,2021-Q1,2021-03,7,March,3,Sunday,1
3/8/2021,20210308,2021,2021-Q1,2021-03,8,March,3,Monday,2
3/9/2021,20210309,2021,2021-Q1,2021-03,9,March,3,Tuesday,3
3/10/2021,20210310,2021,2021-Q1,2021-03,10,March,3,Wednesday,4
3/11/2021,20210311,2021,2021-Q1,2021-03,11,March,3,Thursday,5
3/12/2021,20210312,2021,2021-Q1,2021-03,12,March,3,Friday,6
3/13/2021,20210313,2021,2021-Q1,2021-03,13,March,3,Saturday,7
3/14/2021,20210314,2021,2021-Q1,2021-03,14,March,3,Sunday,1
3/15/2021,20210315,2021,2021-Q1,2021-03,15,March,3,Monday,2
3/16/2021,20210316,2021,2021-Q1,2021-03,16,March,3,Tuesday,3
3/17/2021,20210317,2021,2021-Q1,2021-03,17,March,3,Wednesday,4
3/18/2021,20210318,2021,2021-Q1,2021-03,18,March,3,Thursday,5
3/19/2021,20210319,2021,2021-Q1,2021-03,19,March,3,Friday,6
3/20/2021,20210320,2021,2021-Q1,2021-03,20,March,3,Saturday,7
3/21/2021,20210321,2021,2021-Q1,2021-03,21,March,3,Sunday,1
3/22/2021,20210322,2021,2021-Q1,2021-03,22,March,3,Monday,2
3/23/2021,20210323,2021,2021-Q1,2021-03,23,March,3,Tuesday,3
3/24/2021,20210324,2021,2021-Q1,2021-03,24,March,3,Wednesday,4
3/25/2021,20210325,2021,2021-Q1,2021-03,25,March,3,Thursday,5
3/26/2021,20210326,2021,2021-Q1,2021-03,26,March,3,Friday,6
3/27/2021,20210327,2021,2021-Q1,2021-03,27,March,3,Saturday,7
3/28/2021,20210328,2021,2021-Q1,2021-03,28,March,3,Sunday,1
3/29/2021,20210329,2021,2021-Q1,2021-03,29,March,3,Monday,2
3/30/2021,20210330,2021,2021-Q1,2021-03,30,March,3,Tuesday,3
3/31/2021,20210331,2021,2021-Q1,2021-03,31,March,3,Wednesday,4
4/1/2021,20210401,2021,2021-Q2,2021-04,1,April,4,Thursday,5
4/2/2021,20210402,2021,2021-Q2,2021-04,2,April,4,Friday,6
4/3/2021,20210403,2021,2021-Q2,2021-04,3,April,4,Saturday,7
4/4/2021,20210404,2021,2021-Q2,2021-04,4,April,4,Sunday,1
4/5/2021,20210405,2021,2021-Q2,2021-04,5,April,4,Monday,2
4/6/2021,20210406,2021,2021-Q2,2021-04,6,April,4,Tuesday,3
4/7/2021,20210407,2021,2021-Q2,2021-04,7,April,4,Wednesday,4
4/8/2021,20210408,2021,2021-Q2,2021-04,8,April,4,Thursday,5
4/9/2021,20210409,2021,2021-Q2,2021-04,9,April,4,Friday,6
4/10/2021,20210410,2021,2021-Q2,2021-04,10,April,4,Saturday,7
4/11/2021,20210411,2021,2021-Q2,2021-04,11,April,4,Sunday,1
4/12/2021,20210412,2021,2021-Q2,2021-04,12,April,4,Monday,2
4/13/2021,20210413,2021,2021-Q2,2021-04,13,April,4,Tuesday,3
4/14/2021,20210414,2021,2021-Q2,2021-04,14,April,4,Wednesday,4
4/15/2021,20210415,2021,2021-Q2,2021-04,15,April,4,Thursday,5
4/16/2021,20210416,2021,2021-Q2,2021-04,16,April,4,Friday,6
4/17/2021,20210417,2021,2021-Q2,2021-04,17,April,4,Saturday,7
4/18/2021,20210418,2021,2021-Q2,2021-04,18,April,4,Sunday,1
4/19/2021,20210419,2021,2021-Q2,2021-04,19,April,4,Monday,2
4/20/2021,20210420,2021,2021-Q2,2021-04,20,April,4,Tuesday,3
4/21/2021,20210421,2021,2021-Q2,2021-04,21,April,4,Wednesday,4
4/22/2021,20210422,2021,2021-Q2,2021-04,22,April,4,Thursday,5
4/23/2021,20210423,2021,2021-Q2,2021-04,23,April,4,Friday,6
4/24/2021,20210424,2021,2021-Q2,2021-04,24,April,4,Saturday,7
4/25/2021,20210425,2021,2021-Q2,2021-04,25,April,4,Sunday,1
4/26/2021,20210426,2021,2021-Q2,2021-04,26,April,4,Monday,2
4/27/2021,20210427,2021,2021-Q2,2021-04,27,April,4,Tuesday,3
4/28/2021,20210428,2021,2021-Q2,2021-04,28,April,4,Wednesday,4
4/29/2021,20210429,2021,2021-Q2,2021-04,29,April,4,Thursday,5
4/30/2021,20210430,2021,2021-Q2,2021-04,30,April,4,Friday,6
5/1/2021,20210501,2021,2021-Q2,2021-05,1,May,5,Saturday,7
5/2/2021,20210502,2021,2021-Q2,2021-05,2,May,5,Sunday,1
5/3/2021,20210503,2021,2021-Q2,2021-05,3,May,5,Monday,2
5/4/2021,20210504,2021,2021-Q2,2021-05,4,May,5,Tuesday,3
5/5/2021,20210505,2021,2021-Q2,2021-05,5,May,5,Wednesday,4
5/6/2021,20210506,2021,2021-Q2,2021-05,6,May,5,Thursday,5
5/7/2021,20210507,2021,2021-Q2,2021-05,7,May,5,Friday,6
5/8/2021,20210508,2021,2021-Q2,2021-05,8,May,5,Saturday,7
5/9/2021,20210509,2021,2021-Q2,2021-05,9,May,5,Sunday,1
5/10/2021,20210510,2021,2021-Q2,2021-05,10,May,5,Monday,2
5/11/2021,20210511,2021,2021-Q2,2021-05,11,May,5,Tuesday,3
5/12/2021,20210512,2021,2021-Q2,2021-05,12,May,5,Wednesday,4
5/13/2021,20210513,2021,2021-Q2,2021-05,13,May,5,Thursday,5
5/14/2021,20210514,2021,2021-Q2,2021-05,14,May,5,Friday,6
5/15/2021,20210515,2021,2021-Q2,2021-05,15,May,5,Saturday,7
5/16/2021,20210516,2021,2021-Q2,2021-05,16,May,5,Sunday,1
5/17/2021,20210517,2021,2021-Q2,2021-05,17,May,5,Monday,2
5/18/2021,20210518,2021,2021-Q2,2021-05,18,May,5,Tuesday,3
5/19/2021,20210519,2021,2021-Q2,2021-05,19,May,5,Wednesday,4
5/20/2021,20210520,2021,2021-Q2,2021-05,20,May,5,Thursday,5
5/21/2021,20210521,2021,2021-Q2,2021-05,21,May,5,Friday,6
5/22/2021,20210522,2021,2021-Q2,2021-05,22,May,5,Saturday,7
5/23/2021,20210523,2021,2021-Q2,2021-05,23,May,5,Sunday,1
5/24/2021,20210524,2021,2021-Q2,2021-05,24,May,5,Monday,2
5/25/2021,20210525,2021,2021-Q2,2021-05,25,May,5,Tuesday,3
5/26/2021,20210526,2021,2021-Q2,2021-05,26,May,5,Wednesday,4
5/27/2021,20210527,2021,2021-Q2,2021-05,27,May,5,Thursday,5
5/28/2021,20210528,2021,2021-Q2,2021-05,28,May,5,Friday,6
5/29/2021,20210529,2021,2021-Q2,2021-05,29,May,5,Saturday,7
5/30/2021,20210530,2021,2021-Q2,2021-05,30,May,5,Sunday,1
5/31/2021,20210531,2021,2021-Q2,2021-05,31,May,5,Monday,2
6/1/2021,20210601,2021,2021-Q2,2021-06,1,June,6,Tuesday,3
6/2/2021,20210602,2021,2021-Q2,2021-06,2,June,6,Wednesday,4
6/3/2021,20210603,2021,2021-Q2,2021-06,3,June,6,Thursday,5
6/4/2021,20210604,2021,2021-Q2,2021-06,4,June,6,Friday,6
6/5/2021,20210605,2021,2021-Q2,2021-06,5,June,6,Saturday,7
6/6/2021,20210606,2021,2021-Q2,2021-06,6,June,6,Sunday,1
6/7/2021,20210607,2021,2021-Q2,2021-06,7,June,6,Monday,2
6/8/2021,20210608,2021,2021-Q2,2021-06,8,June,6,Tuesday,3
6/9/2021,20210609,2021,2021-Q2,2021-06,9,June,6,Wednesday,4
6/10/2021,20210610,2021,2021-Q2,2021-06,10,June,6,Thursday,5
6/11/2021,20210611,2021,2021-Q2,2021-06,11,June,6,Friday,6
6/12/2021,20210612,2021,2021-Q2,2021-06,12,June,6,Saturday,7
6/13/2021,20210613,2021,2021-Q2,2021-06,13,June,6,Sunday,1
6/14/2021,20210614,2021,2021-Q2,2021-06,14,June,6,Monday,2
6/15/2021,20210615,2021,2021-Q2,2021-06,15,June,6,Tuesday,3
6/16/2021,20210616,2021,2021-Q2,2021-06,16,June,6,Wednesday,4
6/17/2021,20210617,2021,2021-Q2,2021-06,17,June,6,Thursday,5
6/18/2021,20210618,2021,2021-Q2,2021-06,18,June,6,Friday,6
6/19/2021,20210619,2021,2021-Q2,2021-06,19,June,6,Saturday,7
6/20/2021,20210620,2021,2021-Q2,2021-06,20,June,6,Sunday,1
6/21/2021,20210621,2021,2021-Q2,2021-06,21,June,6,Monday,2
6/22/2021,20210622,2021,2021-Q2,2021-06,22,June,6,Tuesday,3
6/23/2021,20210623,2021,2021-Q2,2021-06,23,June,6,Wednesday,4
6/24/2021,20210624,2021,2021-Q2,2021-06,24,June,6,Thursday,5
6/25/2021,20210625,2021,2021-Q2,2021-06,25,June,6,Friday,6
6/26/2021,20210626,2021,2021-Q2,2021-06,26,June,6,Saturday,7
6/27/2021,20210627,2021,2021-Q2,2021-06,27,June,6,Sunday,1
6/28/2021,20210628,2021,2021-Q2,2021-06,28,June,6,Monday,2
6/29/2021,20210629,2021,2021-Q2,2021-06,29,June,6,Tuesday,3
6/30/2021,20210630,2021,2021-Q2,2021-06,30,June,6,Wednesday,4
7/1/2021,20210701,2021,2021-Q3,2021-07,1,July,7,Thursday,5
7/2/2021,20210702,2021,2021-Q3,2021-07,2,July,7,Friday,6
7/3/2021,20210703,2021,2021-Q3,2021-07,3,July,7,Saturday,7
7/4/2021,20210704,2021,2021-Q3,2021-07,4,July,7,Sunday,1
7/5/2021,20210705,2021,2021-Q3,2021-07,5,July,7,Monday,2
7/6/2021,20210706,2021,2021-Q3,2021-07,6,July,7,Tuesday,3
7/7/2021,20210707,2021,2021-Q3,2021-07,7,July,7,Wednesday,4
7/8/2021,20210708,2021,2021-Q3,2021-07,8,July,7,Thursday,5
7/9/2021,20210709,2021,2021-Q3,2021-07,9,July,7,Friday,6
7/10/2021,20210710,2021,2021-Q3,2021-07,10,July,7,Saturday,7
7/11/2021,20210711,2021,2021-Q3,2021-07,11,July,7,Sunday,1
7/12/2021,20210712,2021,2021-Q3,2021-07,12,July,7,Monday,2
7/13/2021,20210713,2021,2021-Q3,2021-07,13,July,7,Tuesday,3
7/14/2021,20210714,2021,2021-Q3,2021-07,14,July,7,Wednesday,4
7/15/2021,20210715,2021,2021-Q3,2021-07,15,July,7,Thursday,5
7/16/2021,20210716,2021,2021-Q3,2021-07,16,July,7,Friday,6
7/17/2021,20210717,2021,2021-Q3,2021-07,17,July,7,Saturday,7
7/18/2021,20210718,2021,2021-Q3,2021-07,18,July,7,Sunday,1
7/19/2021,20210719,2021,2021-Q3,2021-07,19,July,7,Monday,2
7/20/2021,20210720,2021,2021-Q3,2021-07,20,July,7,Tuesday,3
7/21/2021,20210721,2021,2021-Q3,2021-07,21,July,7,Wednesday,4
7/22/2021,20210722,2021,2021-Q3,2021-07,22,July,7,Thursday,5
7/23/2021,20210723,2021,2021-Q3,2021-07,23,July,7,Friday,6
7/24/2021,20210724,2021,2021-Q3,2021-07,24,July,7,Saturday,7
7/25/2021,20210725,2021,2021-Q3,2021-07,25,July,7,Sunday,1
7/26/2021,20210726,2021,2021-Q3,2021-07,26,July,7,Monday,2
7/27/2021,20210727,2021,2021-Q3,2021-07,27,July,7,Tuesday,3
7/28/2021,20210728,2021,2021-Q3,2021-07,28,July,7,Wednesday,4
7/29/2021,20210729,2021,2021-Q3,2021-07,29,July,7,Thursday,5
7/30/2021,20210730,2021,2021-Q3,2021-07,30,July,7,Friday,6
7/31/2021,20210731,2021,2021-Q3,2021-07,31,July,7,Saturday,7
8/1/2021,20210801,2021,2021-Q3,2021-08,1,August,8,Sunday,1
8/2/2021,20210802,2021,2021-Q3,2021-08,2,August,8,Monday,2
8/3/2021,20210803,2021,2021-Q3,2021-08,3,August,8,Tuesday,3
8/4/2021,20210804,2021,2021-Q3,2021-08,4,August,8,Wednesday,4
8/5/2021,20210805,2021,2021-Q3,2021-08,5,August,8,Thursday,5
8/6/2021,20210806,2021,2021-Q3,2021-08,6,August,8,Friday,6
8/7/2021,20210807,2021,2021-Q3,2021-08,7,August,8,Saturday,7
8/8/2021,20210808,2021,2021-Q3,2021-08,8,August,8,Sunday,1
8/9/2021,20210809,2021,2021-Q3,2021-08,9,August,8,Monday,2
8/10/2021,20210810,2021,2021-Q3,2021-08,10,August,8,Tuesday,3
8/11/2021,20210811,2021,2021-Q3,2021-08,11,August,8,Wednesday,4
8/12/2021,20210812,2021,2021-Q3,2021-08,12,August,8,Thursday,5
8/13/2021,20210813,2021,2021-Q3,2021-08,13,August,8,Friday,6
8/14/2021,20210814,2021,2021-Q3,2021-08,14,August,8,Saturday,7
8/15/2021,20210815,2021,2021-Q3,2021-08,15,August,8,Sunday,1
8/16/2021,20210816,2021,2021-Q3,2021-08,16,August,8,Monday,2
8/17/2021,20210817,2021,2021-Q3,2021-08,17,August,8,Tuesday,3
8/18/2021,20210818,2021,2021-Q3,2021-08,18,August,8,Wednesday,4
8/19/2021,20210819,2021,2021-Q3,2021-08,19,August,8,Thursday,5
8/20/2021,20210820,2021,2021-Q3,2021-08,20,August,8,Friday,6
8/21/2021,20210821,2021,2021-Q3,2021-08,21,August,8,Saturday,7
8/22/2021,20210822,2021,2021-Q3,2021-08,22,August,8,Sunday,1
8/23/2021,20210823,2021,2021-Q3,2021-08,23,August,8,Monday,2
8/24/2021,20210824,2021,2021-Q3,2021-08,24,August,8,Tuesday,3
8/25/2021,20210825,2021,2021-Q3,2021-08,25,August,8,Wednesday,4
8/26/2021,20210826,2021,2021-Q3,2021-08,26,August,8,Thursday,5
8/27/2021,20210827,2021,2021-Q3,2021-08,27,August,8,Friday,6
8/28/2021,20210828,2021,2021-Q3,2021-08,28,August,8,Saturday,7
8/29/2021,20210829,2021,2021-Q3,2021-08,29,August,8,Sunday,1
8/30/2021,20210830,2021,2021-Q3,2021-08,30,August,8,Monday,2
8/31/2021,20210831,2021,2021-Q3,2021-08,31,August,8,Tuesday,3
9/1/2021,20210901,2021,2021-Q3,2021-09,1,September,9,Wednesday,4
9/2/2021,20210902,2021,2021-Q3,2021-09,2,September,9,Thursday,5
9/3/2021,20210903,2021,2021-Q3,2021-09,3,September,9,Friday,6
9/4/2021,20210904,2021,2021-Q3,2021-09,4,September,9,Saturday,7
9/5/2021,20210905,2021,2021-Q3,2021-09,5,September,9,Sunday,1
9/6/2021,20210906,2021,2021-Q3,2021-09,6,September,9,Monday,2
9/7/2021,20210907,2021,2021-Q3,2021-09,7,September,9,Tuesday,3
9/8/2021,20210908,2021,2021-Q3,2021-09,8,September,9,Wednesday,4
9/9/2021,20210909,2021,2021-Q3,2021-09,9,September,9,Thursday,5
9/10/2021,20210910,2021,2021-Q3,2021-09,10,September,9,Friday,6
9/11/2021,20210911,2021,2021-Q3,2021-09,11,September,9,Saturday,7
9/12/2021,20210912,2021,2021-Q3,2021-09,12,September,9,Sunday,1
9/13/2021,20210913,2021,2021-Q3,2021-09,13,September,9,Monday,2
9/14/2021,20210914,2021,2021-Q3,2021-09,14,September,9,Tuesday,3
9/15/2021,20210915,2021,2021-Q3,2021-09,15,September,9,Wednesday,4
9/16/2021,20210916,2021,2021-Q3,2021-09,16,September,9,Thursday,5
9/17/2021,20210917,2021,2021-Q3,2021-09,17,September,9,Friday,6
9/18/2021,20210918,2021,2021-Q3,2021-09,18,September,9,Saturday,7
9/19/2021,20210919,2021,2021-Q3,2021-09,19,September,9,Sunday,1
9/20/2021,20210920,2021,2021-Q3,2021-09,20,September,9,Monday,2
9/21/2021,20210921,2021,2021-Q3,2021-09,21,September,9,Tuesday,3
9/22/2021,20210922,2021,2021-Q3,2021-09,22,September,9,Wednesday,4
9/23/2021,20210923,2021,2021-Q3,2021-09,23,September,9,Thursday,5
9/24/2021,20210924,2021,2021-Q3,2021-09,24,September,9,Friday,6
9/25/2021,20210925,2021,2021-Q3,2021-09,25,September,9,Saturday,7
9/26/2021,20210926,2021,2021-Q3,2021-09,26,September,9,Sunday,1
9/27/2021,20210927,2021,2021-Q3,2021-09,27,September,9,Monday,2
9/28/2021,20210928,2021,2021-Q3,2021-09,28,September,9,Tuesday,3
9/29/2021,20210929,2021,2021-Q3,2021-09,29,September,9,Wednesday,4
9/30/2021,20210930,2021,2021-Q3,2021-09,30,September,9,Thursday,5
10/1/2021,20211001,2021,2021-Q4,2021-10,1,October,10,Friday,6
10/2/2021,20211002,2021,2021-Q4,2021-10,2,October,10,Saturday,7
10/3/2021,20211003,2021,2021-Q4,2021-10,3,October,10,Sunday,1
10/4/2021,20211004,2021,2021-Q4,2021-10,4,October,10,Monday,2
10/5/2021,20211005,2021,2021-Q4,2021-10,5,October,10,Tuesday,3
10/6/2021,20211006,2021,2021-Q4,2021-10,6,October,10,Wednesday,4
10/7/2021,20211007,2021,2021-Q4,2021-10,7,October,10,Thursday,5
10/8/2021,20211008,2021,2021-Q4,2021-10,8,October,10,Friday,6
10/9/2021,20211009,2021,2021-Q4,2021-10,9,October,10,Saturday,7
10/10/2021,20211010,2021,2021-Q4,2021-10,10,October,10,Sunday,1
10/11/2021,20211011,2021,2021-Q4,2021-10,11,October,10,Monday,2
10/12/2021,20211012,2021,2021-Q4,2021-10,12,October,10,Tuesday,3
10/13/2021,20211013,2021,2021-Q4,2021-10,13,October,10,Wednesday,4
10/14/2021,20211014,2021,2021-Q4,2021-10,14,October,10,Thursday,5
10/15/2021,20211015,2021,2021-Q4,2021-10,15,October,10,Friday,6
10/16/2021,20211016,2021,2021-Q4,2021-10,16,October,10,Saturday,7
10/17/2021,20211017,2021,2021-Q4,2021-10,17,October,10,Sunday,1
10/18/2021,20211018,2021,2021-Q4,2021-10,18,October,10,Monday,2
10/19/2021,20211019,2021,2021-Q4,2021-10,19,October,10,Tuesday,3
10/20/2021,20211020,2021,2021-Q4,2021-10,20,October,10,Wednesday,4
10/21/2021,20211021,2021,2021-Q4,2021-10,21,October,10,Thursday,5
10/22/2021,20211022,2021,2021-Q4,2021-10,22,October,10,Friday,6
10/23/2021,20211023,2021,2021-Q4,2021-10,23,October,10,Saturday,7
10/24/2021,20211024,2021,2021-Q4,2021-10,24,October,10,Sunday,1
10/25/2021,20211025,2021,2021-Q4,2021-10,25,October,10,Monday,2
10/26/2021,20211026,2021,2021-Q4,2021-10,26,October,10,Tuesday,3
10/27/2021,20211027,2021,2021-Q4,2021-10,27,October,10,Wednesday,4
10/28/2021,20211028,2021,2021-Q4,2021-10,28,October,10,Thursday,5
10/29/2021,20211029,2021,2021-Q4,2021-10,29,October,10,Friday,6
10/30/2021,20211030,2021,2021-Q4,2021-10,30,October,10,Saturday,7
10/31/2021,20211031,2021,2021-Q4,2021-10,31,October,10,Sunday,1
11/1/2021,20211101,2021,2021-Q4,2021-11,1,November,11,Monday,2
11/2/2021,20211102,2021,2021-Q4,2021-11,2,November,11,Tuesday,3
11/3/2021,20211103,2021,2021-Q4,2021-11,3,November,11,Wednesday,4
11/4/2021,20211104,2021,2021-Q4,2021-11,4,November,11,Thursday,5
11/5/2021,20211105,2021,2021-Q4,2021-11,5,November,11,Friday,6
11/6/2021,20211106,2021,2021-Q4,2021-11,6,November,11,Saturday,7
11/7/2021,20211107,2021,2021-Q4,2021-11,7,November,11,Sunday,1
11/8/2021,20211108,2021,2021-Q4,2021-11,8,November,11,Monday,2
11/9/2021,20211109,2021,2021-Q4,2021-11,9,November,11,Tuesday,3
11/10/2021,20211110,2021,2021-Q4,2021-11,10,November,11,Wednesday,4
11/11/2021,20211111,2021,2021-Q4,2021-11,11,November,11,Thursday,5
11/12/2021,20211112,2021,2021-Q4,2021-11,12,November,11,Friday,6
11/13/2021,20211113,2021,2021-Q4,2021-11,13,November,11,Saturday,7
11/14/2021,20211114,2021,2021-Q4,2021-11,14,November,11,Sunday,1
11/15/2021,20211115,2021,2021-Q4,2021-11,15,November,11,Monday,2
11/16/2021,20211116,2021,2021-Q4,2021-11,16,November,11,Tuesday,3
11/17/2021,20211117,2021,2021-Q4,2021-11,17,November,11,Wednesday,4
11/18/2021,20211118,2021,2021-Q4,2021-11,18,November,11,Thursday,5
11/19/2021,20211119,2021,2021-Q4,2021-11,19,November,11,Friday,6
11/20/2021,20211120,2021,2021-Q4,2021-11,20,November,11,Saturday,7
11/21/2021,20211121,2021,2021-Q4,2021-11,21,November,11,Sunday,1
11/22/2021,20211122,2021,2021-Q4,2021-11,22,November,11,Monday,2
11/23/2021,20211123,2021,2021-Q4,2021-11,23,November,11,Tuesday,3
11/24/2021,20211124,2021,2021-Q4,2021-11,24,November,11,Wednesday,4
11/25/2021,20211125,2021,2021-Q4,2021-11,25,November,11,Thursday,5
11/26/2021,20211126,2021,2021-Q4,2021-11,26,November,11,Friday,6
11/27/2021,20211127,2021,2021-Q4,2021-11,27,November,11,Saturday,7
11/28/2021,20211128,2021,2021-Q4,2021-11,28,November,11,Sunday,1
11/29/2021,20211129,2021,2021-Q4,2021-11,29,November,11,Monday,2
11/30/2021,20211130,2021,2021-Q4,2021-11,30,November,11,Tuesday,3
12/1/2021,20211201,2021,2021-Q4,2021-12,1,December,12,Wednesday,4
12/2/2021,20211202,2021,2021-Q4,2021-12,2,December,12,Thursday,5
12/3/2021,20211203,2021,2021-Q4,2021-12,3,December,12,Friday,6
12/4/2021,20211204,2021,2021-Q4,2021-12,4,December,12,Saturday,7
12/5/2021,20211205,2021,2021-Q4,2021-12,5,December,12,Sunday,1
12/6/2021,20211206,2021,2021-Q4,2021-12,6,December,12,Monday,2
12/7/2021,20211207,2021,2021-Q4,2021-12,7,December,12,Tuesday,3
12/8/2021,20211208,2021,2021-Q4,2021-12,8,December,12,Wednesday,4
